B00007LT7L,Intel TRAY PENTIUM 4 3.06GHZ-HT 512K 533FSB S478 ( RK80532PE083512 ),2.20,1.70,1.00,0.02,109.94,0,3.740000,0,0
B00008CMMG,AMD AXDA2500BOX Athlon XP 2500 512KB Cache Processor,6.90,6.20,4.50,0.93,74.99,2,192.510000,2,0
B00008NJEP,TERK Omni-Directional Indoor FM Antenna,7.80,6.30,1.60,0.50,12.58,2,78.624000,2,0
B00008VIJ4,Technics RPDJ1210 Swig Arm DJ Headphone Fold Coil,5.50,3.70,6.90,0.73,79.99,0,140.415000,0,0
B00008X5DE,"RCA VH911R System Selector for TV, DVD Gaming VCR, DVR, Camcorder and CD Player/Recorder",2.60,4.80,10.80,0.65,11.36,1,134.784000,1,0
B00008XPFQ,"Riverside Paper Tru-Ray(R) Construction Paper, 9in. x 12in., Dark Green",9.00,12.10,1.00,0.92,2.63,2,108.900000,2,0
B00008XPH8,"Pacon Tru-Ray Construction Paper, 9-Inches by 12-Inches, 50-Count, Assorted (103031)",12.00,9.00,1.00,0.92,3.99,2,108.000000,2,0
B000092YLX,Intel Boxed Pentium 4 2.6 GHZ-HT 512K 800 FSB S478 ( BX80532PG2600D ),7.30,6.30,3.50,1.00,53.25,0,160.965000,0,0
B00009R6TA,Canon Deluxe Photo Backpack 200EG for Canon EOS SLR Cameras (Black with Green Accent),15.00,12.20,7.00,2.50,39.95,1,1281.000000,1,0
B00009R6WO,Canon EF 17-40mm f/4L USM Ultra Wide Angle Zoom Lens for Canon SLR Cameras,3.80,3.30,3.30,1.10,749.00,2,41.382000,2,0
B00009R6WT,Canon EF 24-70mm f/2.8L USM Standard Zoom Lens for Canon SLR Cameras,4.90,3.30,3.30,2.10,1604.21,1,53.361000,1,0
B00009R6WU,Canon EF 28mm f/1.8 USM Wide Angle Lens for Canon SLR Cameras,2.20,2.90,2.90,0.68,509.00,1,18.502000,1,0
B00009R6WY,Canon EF 35mm f/1.4L USM Wide Angle Lens for Canon SLR Cameras - Fixed,3.40,3.10,3.10,1.30,1099.00,0,32.674000,0,0
B00009USW3,Canon EF 400mm f/5.6L USM Super Telephoto Lens for Canon SLR Cameras,10.10,3.50,3.50,2.80,1199.00,0,123.725000,0,0
B00009XVCZ,Canon EF 50mm f/1.4 USM Standard Lens for Canon SLR Cameras - Fixed,2.00,2.90,2.90,0.64,349.00,2,16.820000,2,0
B00009XVKY,"Pelican 1400 Case with Foam (Camera, Gun, Equipment, Multi-Purpose) - Black",13.40,6.00,11.60,1.50,69.86,1,932.640000,1,0
B00009XVL7,"Pelican 1450 Case with Foam (Camera, Gun, Equipment, Multi-Purpose) - Orange",16.00,6.90,13.00,5.50,88.12,1,1435.200000,1,0
B00009XVLO,Pelican 1550 Case with Foam for Camera (Black),20.60,8.10,16.90,10.60,152.50,0,2819.934000,0,0
